-157.0005555553,-155.9994444449,62.9994444448,64.0005555552
-132.0005555549,-130.9994444445,54.9994444446,56.00055555
-165.0005555556,-163.9994444445,63.9994444444,65.0005555556
-162.0005555556,-160.9994444445,67.9994444444,69.0005555556
-134.0005555554,-132.999444445,57.9994444449,59.0005555553
-153.0005555552,-151.9994444448,66.9994444449,68.0005555553
-133.0005555556,-131.9994444448,56.9994444447,58.0005555555
-142.0005555556,-140.9994444448,62.9994444444,64.0005555552
-149.0005555551,-147.9994444447,67.9994444447,69.0005555551
-155.0005555557,-153.9994444453,67.9994444447,69.0005555551
-146.0005555557,-144.9994444444,64.9994444444,66.0005555557
-141.0005555549,-139.9994444445,58.9994444447,60.0005555551
-162.0005555556,-160.9994444445,64.9994444444,66.0005555556
-142.0005555556,-140.9994444452,61.999444445,63.0005555554
-160.0005555556,-158.9994444445,69.9994444444,71.0005555556
-166.0005555556,-164.9994444445,65.9994444444,67.0005555556
-157.0005555556,-155.9994444445,69.9994444444,71.0005555556
-149.0005555556,-147.9994444445,62.9994444444,64.0005555556
-164.0005555556,-162.9994444445,69.9994444444,71.0005555556
-146.0005555557,-144.9994444453,61.999444445,63.0005555554
-161.0005555554,-159.999444445,59.9994444445,61.0005555549
-155.0005555557,-153.9994444453,63.9994444446,65.000555555
-134.0005555554,-132.999444445,56.9994444451,58.0005555555
-160.0005555556,-158.9994444445,63.9994444444,65.0005555556
-146.0005555556,-144.9994444445,58.9994444444,60.0005555556
-152.0005555554,-150.999444445,60.9994444452,62.0005555556
-147.0005555555,-145.9994444451,60.9994444452,62.0005555556
-159.0005555556,-157.9994444445,67.9994444444,69.0005555556
-146.0005555557,-144.9994444453,65.9994444451,67.0005555555
-142.0005555556,-140.9994444443,64.9994444444,66.0005555557
-135.0005555552,-133.9994444444,55.9994444449,57.0005555557
-143.0005555554,-141.999444445,58.9994444447,60.0005555551
-165.0005555556,-163.9994444445,66.9994444444,68.0005555556
-153.0005555556,-151.9994444445,69.9994444444,71.0005555556
-165.0005555556,-163.9994444445,65.9994444444,67.0005555556
-157.0005555553,-155.9994444449,59.9994444445,61.0005555549
-160.0005555556,-158.9994444452,62.9994444448,64.0005555552
