n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Gate_B_001,146,26.6880573223,-80.0923052997,Ramp_01_001,183,26.6885418912,-80.0929269669
Ramp_01_012,193,26.6890436634,-80.0934482793,Ramp_01_011,195,26.6888316016,-80.0937161085
Ramp_01_019,202,26.686602335,-80.0913994792,Ramp_01_020,203,26.6869239781,-80.0908499585
Txy_F1_001,92,26.6803234313,-80.0924018965,Txy_F_F1,93,26.6799963702,-80.0927842027
Txy_R1_003,55,26.680364775,-80.1030378734,Txy_R1_002,54,26.6804880175,-80.1030320536
Txy_C_005,144,26.6836811932,-80.093794708,Rwy_02_005,23,26.683729775,-80.0950528465
Parking_08_004,234,26.6794574508,-80.0965631804,Txy_R4_001,51,26.6800850816,-80.0965657386
Txy_F_006,101,26.678198171,-80.0903508337,Txy_F_005,100,26.6784519045,-80.091059565
Ramp_01_008,190,26.6872640239,-80.0956443476,Ramp_01_007,189,26.6868656824,-80.095206534
Ramp_01_017,200,26.6859604265,-80.0921885257,Ramp_01_018,201,26.6862656199,-80.0918052301
Parking_01_005,176,26.6861871559,-80.0872285816,Ramp_01_031,214,26.6857266656,-80.0878601412
Txy_R1_001,52,26.6807773186,-80.1030359579,Rwy_03_002,28,26.6810474516,-80.103029729
Rwy_02_001,18,26.6918112149,-80.1039949161,Rwy_02_002,19,26.6888974565,-80.1007716819
Rwy_03_005,33,26.6807699337,-80.0965292406,Txy_L2_002,41,26.6804993552,-80.0965429242
Ramp_01_031,214,26.6857266656,-80.0878601412,Ramp_01_032,215,26.6853312667,-80.087473213
243,240,26.6865441697,-80.0909891358,Ramp_01_022,205,26.6859184839,-80.0909015265
Txy_C_003,79,26.6840911571,-80.1032924196,Txy_C2_002,78,26.6837446868,-80.1033025559
Gate_01_002,149,26.6877789899,-80.0925646946,Ramp_01_002,184,26.6883223459,-80.0931876453
Ramp_01_020,203,26.6869239781,-80.0908499585,243,240,26.6865441697,-80.0909891358
Ramp_01_035,217,26.6846814613,-80.0858442668,Ramp_01_034,218,26.6847082098,-80.0868487664
Txy_C4_001,77,26.6836679547,-80.1000796489,Txy_C_C4,76,26.6839525788,-80.1000694937
Rwy_01_001,0,26.683205033,-80.1082782834,Txy_L_001,32,26.6823103629,-80.1082960821
Rwy_01_007,6,26.6826817987,-80.0961549656,Rwy_01_008,7,26.6826332127,-80.0950827109
Txy_L_L2,38,26.6815926318,-80.0964869468,Txy_L2_001,40,26.6811001683,-80.0965081263
Gate_B_011,152,26.6868565816,-80.0937359803,Ramp_01_006,188,26.6872378061,-80.0947197355
Txy_R_R3,44,26.6804721495,-80.0992670918,Txy_R3_001,45,26.6802036151,-80.099278297
Txy_E_K,107,26.6797710897,-80.0839765101,Txy_E_001,108,26.6803422984,-80.0816118607
Txy_R1_005,57,26.6787871465,-80.1030343883,Txy_R1_004,56,26.6797406544,-80.1030423573
Txy_C_011,115,26.6826492846,-80.0779068154,Rwy_01_017,17,26.6818790935,-80.077928484
Txy_A_C,63,26.6843093409,-80.1081984934,Txy_A_002,66,26.6847086477,-80.1081794962
Txy_C1_001,67,26.6839207893,-80.1073872454,Txy_C_001,64,26.6842682866,-80.1073884318
Txy_B_B2,143,26.6844305877,-80.0940564753,Txy_B_004,61,26.6865853572,-80.0964442448
Txy_J_002,121,26.682803453,-80.0803368066,Rwy_01_015,14,26.6819983465,-80.0804047161
Txy_S_001,223,26.682269336,-80.1048917356,Rwy_01_003,2,26.6830597989,-80.1045556004
Rwy_02_004,21,26.6859027218,-80.0974549088,Rwy_02_005,23,26.683729775,-80.0950528465
Txy_H_005,96,26.6795065548,-80.0914648277,Rwy_02_009,8,26.6800061219,-80.0909324936
Txy_L_002,34,26.6820834742,-80.107878819,Txy_L_S,36,26.6819675404,-80.1051195849
Txy_R_R4,42,26.6803509139,-80.0965507803,Txy_L2_002,41,26.6804993552,-80.0965429242
Gate_C_015,170,26.6852349598,-80.089346981,Txy_H_M,136,26.6843838008,-80.0883063075
Txy_B_004,61,26.6865853572,-80.0964442448,Txy_B_B1,60,26.6897006621,-80.099891232
Rwy_01_002,1,26.6831654049,-80.1073413126,Txy_C1_001,67,26.6839207893,-80.1073872454
Txy_F_005,100,26.6784519045,-80.091059565,Txy_FF_001,99,26.6782257373,-80.091312696
Ramp_07_003,243,26.6854082092,-80.0801901322,Parking_07_003,221,26.6853903964,-80.0794271001
Rwy_01_005,4,26.6828624225,-80.1001163393,Rwy_01_006,5,26.6828094425,-80.0991281974
Parking_08_005,235,26.6795189081,-80.0939365798,Txy_F1_002,95,26.679784192,-80.0929847853
Txy_F_H,98,26.6791815873,-80.0918387202,Txy_H_006,97,26.6788649464,-80.0919906044
Txy_D_002,105,26.6814558001,-80.0868689809,Txy_D_001,106,26.6792370502,-80.0883956212
Rwy_01_009,10,26.6825870443,-80.0937876107,Rwy_02_007,24,26.6822533739,-80.0934193701
