C560,8,0.6,2018,https://www.libertyjet.com/private_jets_for_sale/Cessna/Citation%20V%20560
C56X,10,13.05,2018,http://aviationweek.com/site-files/aviationweek.com/files/datasheets/gated/BCA_201805.pdf
C750,12,23.365,2015,http://aviationweek.com/site-files/aviationweek.com/files/uploads/2015/05/Business%20Airplane%20Tables_May_2015_revised.pdf
CL60,30,30,2006,https://en.wikipedia.org/wiki/Bombardier_CRJ200
CRJ1,50,30,2006,https://en.wikipedia.org/wiki/Bombardier_CRJ200
CRJ2,50,32.35,2015,http://aviationweek.com/site-files/aviationweek.com/files/uploads/2015/05/Business%20Airplane%20Tables_May_2015_revised.pdf
CRJ9,90,46.5,2017,http://commercialaircraft.bombardier.com/en/media
D228,19,8.7,2011,https://www.ainonline.com/aviation-news/air-transport/2011-10-10/ruag-shows-nextgen-dornier-do228ng
D328,33,9.75,1996,https://www.flightglobal.com/news/articles/faster-future-11687/
DA42,4,0.52,2010,https://www.ft.com/content/6a2b8b56-58a9-11df-a0c9-00144feab49a
DC10,550,20,1972,https://www.flightglobal.com/pdfarchive/view/1972/1972%20-%202020.html
DC87,259,5.46,1960,Flight 18 November 1960
DC94,120,5.2,1972,https://www.flightglobal.com/pdfarchive/view/1972/1972%20-%202020.html
DH8A,39,17,2018,https://www.privatefly.com/us/private-jets/regional-airliner-hire/De-Havilland-DHC8-100-200
DH8C,50,18.7,2007,https://www.aerospace-technology.com/projects/bombardier_q300/
DH8D,90,32.2,2017,http://commercialaircraft.bombardier.com/en/media/list-prices---commercial-aircraft---bombardier.html
E120,30,11,2018,https://www.aircraftcompare.com/helicopter-airplane/Embraer-EMB-120-Brasilia/124
E135,37,15,1996,https://www.flightglobal.com/pdfarchive/view/1996/1996%20-%201665.html?search=emb-145
E145,50,15.2,1996,https://en.wikipedia.org/wiki/Embraer_ERJ_family
E170,80,41,2018,http://www.aircraftvaluenews.com/e170-values-experience-downward-trend/
E190,110,50.6,2017,https://www.prnewswire.com/news-releases/embraer-marks-one-year-of-e190-operations-in-japan-with-e190-firm-order-from-jal-300476601.html
E50P,6,4.495,2018,http://aviationweek.com/site-files/aviationweek.com/files/datasheets/gated/BCA_201805.pdf
E55P,11,9.45,2018,http://aviationweek.com/site-files/aviationweek.com/files/datasheets/gated/BCA_201805.pdf
EA50,5,2.495,2018,http://aviationweek.com/site-files/aviationweek.com/files/datasheets/gated/BCA_201805.pdf
F100,100,5.08,2016,http://www.measuringworth.com/datasets/usgdp/
F27,52,1.6,1972,https://www.flightglobal.com/pdfarchive/view/1972/1972%20-%202020.html
F28,80,18,2018,https://www.flightglobal.com/pdfarchive/view/1970/1970%20-%200918.html
F2TH,12,35.1,2018,http://aviationweek.com/site-files/aviationweek.com/files/datasheets/gated/BCA_201805.pdf
F50,62,17.5,1997,https://en.wikipedia.org/wiki/Fokker_50
F70,85,25.5,2005,https://www.privatefly.com/private-jets/regional-airliner-hire/Fokker-F70.html
F900,19,44.8,2018,http://aviationweek.com/site-files/aviationweek.com/files/datasheets/gated/BCA_201805.pdf
FA10,8,20.9,2010,https://www.avbuyer.com/aircraft/private-jets/dassault-falcon
FA20,12,2.5,1972,https://www.flightglobal.com/pdfarchive/view/1972/1972%20-%202020.html
FA50,9,21.15,2006,http://awin.aviationweek.com/portals/awin/PDFs/BCAHandbook/2006/2006_business_airplanes.pdf
FA7X,20,53.8,2018,http://aviationweek.com/site-files/aviationweek.com/files/datasheets/gated/BCA_201805.pdf
H25A,14,1.45,1972,https://www.flightglobal.com/pdfarchive/view/1972/1972%20-%202020.html
H25B,14,16.07,2012,http://awin.aviationweek.com/portals/awin/pdfs/BCAOpPlanningGuide/2012_Production.pdf
JS31,19,0.39,1988,https://www.controller.com/listings/aircraft/for-sale/list/category/8/turboprop-aircraft/manufacturer/bae
JS32,19,4,1991,Flying Magazine, June 1991, P.30
JS41,29,6,1991,Flying Magazine, June 1991, P.30
L101,350,20,1972,https://www.flightglobal.com/pdfarchive/view/1972/1972%20-%202020.html
LJ35,8,0.76,2015,https://www.aircraftcostcalculator.com/media/184678/learjet_operating_costs_learjet_35a_operating_costs.pdf
LJ45,9,13.2,2012,http://awin.aviationweek.com/portals/awin/pdfs/BCAOpPlanningGuide/2012_Production.pdf
MD11,370,145,1999,https://www.forecastinternational.com/archive/disp_old_pdf.cfm?ARC_ID=316
MD82,155,42,1997,https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-80
MD83,155,48,1997,https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-80
MU2,7,0.8,2008,https://www.bjtonline.com/business-jet-news/mitsubishi-mu-2
P28A,3,0.047,2017,http://assets.penton.com/digitaleditions/BCA/BCA_201705.pdf
PA27,4,0.08,2018,https://www.trade-a-plane.com/search?make=PIPER&model_group=PIPER+AZTEC+SERIES&s-type=aircraft
PA31,9,0.2,2018,https://www.trade-a-plane.com/search?make=PIPER&model_group=PIPER+NAVAJO+SERIES&s-type=aircraft
PA34,5,1,2017,http://assets.penton.com/digitaleditions/BCA/BCA_201705.pdf
PAY2,7,3.7,2018,https://www.flightglobal.com/pdfarchive/view/1981/1981%20-%203608.html
PAY3,8,3.7,2018,https://www.flightglobal.com/pdfarchive/view/1981/1981%20-%203608.html
RJ85,100,14.3,1981,https://en.wikipedia.org/wiki/British_Aerospace_146
SB20,53,14.5,1999,https://www.forecastinternational.com/archive/disp_old_pdf.cfm?ARC_ID=353
SF34,37,8,2018,https://www.aircraftcompare.com/helicopter-airplane/Saab-340/445
SH36,39,5,1990,ASSUMED ESTIMATE
SW3,11,0.45,2008,http://www.flightglobal.com/pdfarchive/view/1969/1969%20-%202983.html
SW4,19,3.7,2015,https://www.bjtonline.com/business-jet-news/used-turboprop-review-merlin-iv-the-agony-and-the-ecstasy
T134,95,0.1,2018,http://www.planecheck.com/index.asp?ent=da&id=38169&cor=y
T154,180,45,2008,https://www.aircraftcompare.com/helicopter-airplane/Tupolev-Tu-154/479
TBM7,6,4.19,2017,http://aviationweek.com/site-files/aviationweek.com/files/datasheets/gated/BCA_201805.pdf
TRIN,4,0.52,2007,https://www.flightglobal.com/news/articles/tb20-production-to-go-to-romania-211957/
